City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,hobyo,5.3505,48.5268,299.84,78,35,8.09,SO,1702254358
259,bardai,11.65,7.2333,290.67,29,27,4.71,NG,1702254359
260,severo-yeniseyskiy,60.3725,93.0408,234.58,100,79,0.45,RU,1702254096
261,khash,28.2211,61.2158,283.1,28,1,0.85,IR,1702254361
262,kisanga,-7.4362,37.7034,296.19,96,98,0.7,TZ,1702254362
263,saint-francois,46.4154,3.9054,286.84,84,100,2.57,FR,1702254364
264,kumagunnam,13.1551,10.6342,291.64,26,95,5.36,NG,1702254365
265,cholpon-ata,42.6494,77.0823,273.18,42,100,1.83,KG,1702254366
266,anna regina,7.2644,-58.5077,298.93,84,4,2.88,GY,1702254367
267,nagato,34.3833,131.2,288.62,77,94,5.68,JP,1702254369
268,tulsipur,28.131,82.2973,284.27,70,0,2.09,NP,1702254370
269,minehead,51.2057,-3.4788,285.45,77,36,2.24,GB,1702254371
270,wanning,18.8003,110.3967,296.21,89,84,1.03,CN,1702254373
271,alofi,-19.0595,-169.9187,298.09,94,100,5.66,NU,1702254374
272,bikenibeu village,1.3673,173.1241,302.13,84,100,3.09,KI,1702254375
273,okhotsk,59.3833,143.3,266.48,94,100,1.9,RU,1702254378
274,stonehaven,56.9637,-2.2118,279.44,99,100,4.62,GB,1702254379
275,dudinka,69.4058,86.1778,247.38,97,100,5.36,RU,1702254123
276,dubbo,-32.25,148.6167,304.22,37,60,4.12,AU,1702254382
277,wismar,53.9,11.4667,279.4,97,100,1.34,DE,1702254383
278,tynda,55.1667,124.7167,235.82,96,13,1.87,RU,1702254384
279,mpika,-11.8343,31.4529,290.92,88,94,2.1,ZM,1702254385
280,sinabang,2.4803,96.3801,298.25,90,100,1.18,ID,1702254387
281,asha,54.9973,57.2722,247.14,96,14,2.68,RU,1702254388
282,majene,-3.5403,118.9707,301.33,76,100,1.44,ID,1702254389
283,enewetak,11.3474,162.3373,300.86,77,94,8.04,MH,1702254390
284,laurentides,46.4334,-74.9826,273.55,96,100,1.65,CA,1702254392
285,likasi,-10.9814,26.7333,291.13,95,100,1.33,CD,1702254393
286,revda,56.801,59.9303,239.62,100,98,1.35,RU,1702254154
287,kununurra,-15.7667,128.7333,302.14,45,56,5.66,AU,1702254395
288,zhanaozen,43.3,52.8,270.19,93,100,6.35,KZ,1702254397
289,al markaz,25.4,49.7333,288.48,21,95,2.08,SA,1702254398
290,mikuni,36.2171,136.1519,283.1,77,93,8.22,JP,1702254399
291,vadso,70.0744,29.7487,262.24,85,100,9.77,NO,1702254401
292,coahuayana de hidalgo,18.7,-103.6583,299.72,69,100,0.45,MX,1702254402
293,lunglei,22.8833,92.7333,282.84,96,3,1.42,IN,1702254403
294,carlisle,40.2015,-77.1889,282.17,90,100,0.89,US,1702254404
295,kertih,4.5141,103.4483,298.16,94,40,0.0,MY,1702254406
296,shanhaiguan,39.9988,119.7564,268.05,25,100,7.53,CN,1702254407
297,timaru,-44.4,171.25,293.75,48,13,3.13,NZ,1702254408
298,daru,-9.0763,143.2092,299.12,83,100,2.64,PG,1702254410
299,kolonia town,6.964,158.206,305.21,66,100,4.12,FM,1702254411
300,san julian,21.0167,-102.1667,290.89,47,81,2.3,MX,1702254412
301,geidam,12.897,11.9304,292.1,26,76,4.78,NG,1702254413
302,fada n'gourma,12.0622,0.3578,297.05,13,48,3.51,BF,1702254415
303,kerikeri,-35.2268,173.9474,294.45,58,94,1.78,NZ,1702254417
304,al jawf,29.5,38.75,292.01,43,100,4.11,SA,1702254419
305,pradera,3.4211,-76.2447,296.53,92,88,2.61,CO,1702254420
306,kaihua,23.3687,104.28,287.76,90,91,2.33,CN,1702254422
307,havre,49.5833,0.3333,284.02,82,0,9.26,FR,1702254423
308,hammerfest,70.6634,23.6821,266.93,81,97,7.17,NO,1702254424
309,gazojak,41.1875,61.4036,272.92,39,96,5.9,TM,1702254427
310,nova sintra,14.8667,-24.7167,296.09,76,99,3.49,CV,1702254428
311,mejit,10.2753,170.8646,300.38,72,91,9.02,MH,1702254430
312,palanga,55.9175,21.0686,272.16,93,100,5.14,LT,1702254432
313,amasra,41.7463,32.3863,282.9,79,70,2.15,TR,1702254434
314,woolgoolga,-30.1106,153.2007,300.08,59,25,5.12,AU,1702254435
315,mount isa,-20.7333,139.5,300.02,47,75,6.17,AU,1702254437
316,inca,39.7211,2.9109,286.72,88,47,2.35,ES,1702254438
317,bom jesus,-9.0744,-44.3586,298.58,74,88,1.29,BR,1702254440
318,taybad,34.74,60.7756,282.72,44,0,1.42,IR,1702254441
319,robore,-18.3333,-59.75,298.82,74,100,1.67,BO,1702254442
320,morehead city,34.7229,-76.726,293.18,88,100,7.72,US,1702254257
321,ocean shores,46.9737,-124.1563,283.16,98,100,2.57,US,1702254445
322,oamaru,-45.0784,170.9801,290.17,59,10,5.12,NZ,1702254446
323,kargil,34.5667,76.1,266.52,34,100,0.61,IN,1702254447
324,cabo san lucas,22.8909,-109.9124,301.32,45,0,5.14,MX,1702254176
325,dickinson,29.4608,-95.0513,285.99,42,0,4.12,US,1702254381
326,poolesville,39.1459,-77.4169,284.85,95,100,9.26,US,1702254452
327,port hedland,-20.3167,118.5667,301.18,15,10,11.32,AU,1702254453
328,kloulklubed,7.0419,134.2556,302.43,79,63,6.81,PW,1702254454
